symbol,close,drawdown,range_pos,base_type,div_n,div_indicators,div_last,universe
OUST,41.19,-0.745,0.24,accumulation,7,RSI|MACD|MFI|CMF|OBV|WILLR|SQUEEZE,2026-04-27,broader
PATH,10.39,-0.887,0.01,consolidating,6,RSI|MACD|MFI|MVI|CMF|SQUEEZE,2026-06-08,broader
SWKS,72.45,-0.589,0.21,accumulation,6,RSI|MACD|MFI|CMF|WILLR|SQUEEZE,2026-04-27,SP500
PVH,73.76,-0.561,0.33,accumulation,6,RSI|MACD|MFI|MVI|CMF|SQUEEZE,2026-04-06,broader
AIXI,2.61,-0.968,0.03,accumulation,5,MACD|MFI|OBV|WILLR|SQUEEZE,2026-04-27,broader
PSKY,9.94,-0.89,0.02,consolidating|accumulation,5,MACD|MFI|CMF|WILLR|SQUEEZE,2026-04-13,SP500
RGEN,135.89,-0.614,0.34,accumulation,5,RSI|MACD|MFI|MVI|WILLR,2026-06-08,broader
RIVN,14.99,-0.917,0.04,consolidating|accumulation,4,MACD|MFI|WILLR|SQUEEZE,2026-06-15,broader
S,15.25,-0.807,0.05,accumulation,4,MACD|MFI|CMF|SQUEEZE,2026-05-04,broader
SMCI,30.66,-0.751,0.24,accumulation,4,MACD|MFI|CMF|SQUEEZE,2026-05-25,SP500
QUBT,9.97,-0.735,0.26,accumulation,4,MACD|MFI|WILLR|SQUEEZE,2026-05-11,broader
ZS,130.31,-0.665,0.29,accumulation,4,RSI|MACD|MFI|SQUEEZE,2026-05-04,broader
DKNG,25.1,-0.662,0.24,accumulation,4,RSI|MACD|OBV|WILLR,2026-06-08,broader
BAH,63.36,-0.651,0.26,consolidating,4,MACD|MFI|OBV|WILLR,2026-06-08,broader
CRL,185.0,-0.598,0.3,accumulation,4,RSI|MACD|OBV|WILLR,2026-06-15,SP500
CPB,21.15,-0.579,0.05,consolidating|accumulation,4,RSI|MACD|CMF|OBV,2026-06-15,SP500
SMCX,11.91,-0.985,0.01,accumulation,3,MACD|MFI|SQUEEZE,2026-05-04,broader
BTBT,1.99,-0.935,0.06,accumulation,3,MACD|CMF|SQUEEZE,2026-04-27,broader
OPEN,4.41,-0.893,0.1,accumulation,3,MACD|MFI|SQUEEZE,2026-05-11,broader
CLSK,16.62,-0.885,0.11,accumulation,3,MACD|CMF|SQUEEZE,2026-04-27,broader
HIVE,4.31,-0.839,0.16,accumulation,3,MACD|MVI|WILLR,2026-04-27,broader
XPEV,12.64,-0.829,0.1,consolidating,3,MACD|CMF|WILLR,2026-03-30,broader
FISV,47.86,-0.799,0.01,accumulation,3,RSI|MACD|SQUEEZE,2026-06-08,SP500
DUOL,134.79,-0.757,0.15,accumulation,3,MACD|CMF|SQUEEZE,2026-05-04,broader
SPSC,55.13,-0.75,0.16,accumulation,3,RSI|MACD|WILLR,2026-06-08,broader
ARE,51.03,-0.723,0.08,accumulation,3,RSI|MACD|CMF,2026-05-25,SP500
BB,9.28,-0.693,0.25,accumulation,3,RSI|MACD|WILLR,2026-04-27,broader
BLZE,10.79,-0.681,0.25,accumulation,3,RSI|MACD|WILLR,2026-04-27,broader
BIO,283.08,-0.675,0.19,accumulation,3,MACD|CMF|SQUEEZE,2026-06-08,broader
TOST,25.77,-0.65,0.22,accumulation,3,MACD|MFI|SQUEEZE,2026-06-08,broader
RIOT,28.03,-0.639,0.36,accumulation,3,MFI|CMF|SQUEEZE,2026-05-11,broader
RGTI,20.04,-0.634,0.36,accumulation,3,MACD|WILLR|SQUEEZE,2026-04-27,broader
AMC,2.11,-0.997,0.0,accumulation,2,MACD|MFI,2026-04-20,broader
ARQQ,27.0,-0.972,0.02,accumulation,2,MACD|WILLR,2026-04-27,broader
LAES,3.24,-0.883,0.11,accumulation,2,OBV|WILLR,2026-05-11,broader
SMR,10.3,-0.811,0.16,accumulation,2,MACD|SQUEEZE,2026-05-11,broader
BAX,19.89,-0.765,0.06,accumulation,2,RSI|WILLR,2026-06-08,SP500
CRSP,54.44,-0.755,0.2,consolidating|accumulation,2,MACD|SQUEEZE,2026-05-04,broader
JD,25.75,-0.725,0.12,accumulation,2,MACD|WILLR,2026-03-30,broader
OKLO,54.78,-0.705,0.28,consolidating|accumulation,2,MACD|MVI,2026-06-01,broader
ESTC,58.67,-0.689,0.13,accumulation,2,MACD|OBV,2026-05-04,broader
PCTY,102.34,-0.679,0.25,accumulation,2,RSI|MACD,2026-05-04,broader
ZBRA,235.98,-0.616,0.33,accumulation,2,MACD|SQUEEZE,2026-05-11,SP500
BMRN,57.25,-0.572,0.09,accumulation,2,RSI|WILLR,2026-06-15,broader
HSCS,2.86,-0.995,0.0,accumulation,1,MVI,2026-06-22,broader
FCEL,22.61,-0.991,0.01,accumulation,1,CMF,2026-04-27,broader
MSTZ,13.44,-0.976,0.02,accumulation,1,MVI,2026-04-20,broader
ZM,86.75,-0.853,0.06,accumulation,1,OBV,2026-03-30,broader
TXG,34.65,-0.848,0.12,accumulation,1,WILLR,2026-04-13,broader
GRAB,3.45,-0.809,0.08,consolidating,1,MACD,2026-05-04,broader
CAR,183.3,-0.775,0.22,accumulation,1,MVI,2026-04-06,broader
BBAI,3.68,-0.766,0.21,consolidating|accumulation,1,CMF,2026-04-27,broader
ETSY,78.86,-0.757,0.22,consolidating|accumulation,1,MACD,2026-04-13,broader
CZR,29.48,-0.754,0.21,consolidating|accumulation,1,WILLR,2026-05-25,broader
BAND,53.08,-0.734,0.23,accumulation,1,CMF,2026-04-27,broader
ACHR,5.14,-0.718,0.21,accumulation,1,SQUEEZE,2026-04-27,broader
AVS,7.77,-0.706,0.08,accumulation,1,SQUEEZE,2026-04-06,broader
KMX,53.64,-0.667,0.17,accumulation,1,RSI,2026-06-15,broader
KHC,22.82,-0.636,0.17,consolidating|accumulation,1,RSI,2026-05-04,SP500
POOL,198.99,-0.635,0.26,accumulation,1,MVI,2026-06-15,SP500
LEU,173.2,-0.618,0.38,consolidating|accumulation,1,WILLR,2026-04-27,broader
TECH,57.94,-0.564,0.32,accumulation,1,MACD,2026-06-08,SP500
BWIN,24.92,-0.563,0.34,accumulation,1,SQUEEZE,2026-04-06,broader
SYM,39.27,-0.561,0.38,consolidating,1,MFI,2026-04-06,broader
