symbol,n_ind,indicators,last_confirm,close
EW,5,RSI|MACD|MFI|WILLR|SQUEEZE,2026-06-15,87.36
PHM,5,RSI|MACD|MFI|OBV|WILLR,2026-06-15,126.96
WSM,5,RSI|MACD|MFI|OBV|WILLR,2026-06-15,226.92
LLY,5,RSI|MACD|MFI|OBV|WILLR,2026-05-25,1098.57
RVTY,5,RSI|MACD|MVI|OBV|WILLR,2026-05-25,100.0
TTD,5,RSI|MACD|MFI|CMF|SQUEEZE,2026-05-11,18.51
ORCL,5,RSI|MACD|MFI|CMF|SQUEEZE,2026-05-04,184.29
WYNN,4,MACD|MFI|OBV|SQUEEZE,2026-06-15,105.53
IDXX,4,MACD|MFI|MVI|SQUEEZE,2026-06-08,562.09
PAYX,4,RSI|MACD|CMF|SQUEEZE,2026-06-08,98.24
VRSK,4,RSI|MACD|MFI|WILLR,2026-06-08,173.8
NOW,4,RSI|MACD|MFI|CMF,2026-05-25,95.04
VTR,4,RSI|MFI|CMF|OBV,2026-05-18,81.6
GEN,4,MACD|CMF|OBV|WILLR,2026-05-11,24.18
VEEV,4,RSI|MACD|MFI|SQUEEZE,2026-05-04,153.3
ECL,3,RSI|OBV|WILLR,2026-06-15,269.12
GPC,3,RSI|MACD|WILLR,2026-06-15,108.7
IP,3,RSI|OBV|WILLR,2026-06-15,36.82
LEN,3,RSI|MACD|WILLR,2026-06-15,89.73
SW,3,RSI|OBV|WILLR,2026-06-15,44.2
VST,3,RSI|MACD|WILLR,2026-06-15,163.75
IT,3,RSI|MACD|MFI,2026-06-08,127.49
WFC,3,RSI|MACD|WILLR,2026-06-08,82.2
DOC,3,RSI|MVI|SQUEEZE,2026-05-25,19.56
PLTR,3,RSI|MACD|WILLR,2026-05-25,128.47
PTC,3,RSI|MACD|SQUEEZE,2026-05-18,114.75
IVZ,3,RSI|MACD|WILLR,2026-05-04,28.14
NTAP,3,MACD|OBV|SQUEEZE,2026-05-04,159.71
QCOM,3,MACD|OBV|WILLR,2026-05-04,226.11
WDAY,3,RSI|MACD|MFI,2026-05-04,116.93
DECK,2,MACD|WILLR,2026-06-15,109.11
EXPE,2,MFI|SQUEEZE,2026-06-15,240.9
IR,2,MVI|WILLR,2026-06-15,77.91
LVS,2,CMF|SQUEEZE,2026-06-15,48.72
MLM,2,MACD|WILLR,2026-06-15,609.12
NKE,2,RSI|MACD,2026-06-15,45.2
CTAS,2,RSI|WILLR,2026-06-08,170.85
DHR,2,MACD|WILLR,2026-06-08,177.17
EFX,2,MACD|OBV,2026-06-08,153.93
HSIC,2,RSI|WILLR,2026-06-08,79.92
IBM,2,RSI|MACD,2026-06-08,249.1
SPGI,2,MACD|MFI,2026-06-08,410.92
STE,2,MACD|WILLR,2026-06-01,202.61
WRB,2,MACD|SQUEEZE,2026-06-01,67.18
IQV,2,RSI|MACD,2026-05-25,167.77
SJM,2,MFI|OBV,2026-05-25,110.86
FIS,2,RSI|MACD,2026-05-18,38.21
SYY,2,CMF|OBV,2026-05-18,78.7
INTU,2,MACD|MFI,2026-05-04,267.0
DHI,1,MFI,2026-06-15,157.81
DIS,1,OBV,2026-06-15,103.89
GM,1,MACD,2026-06-15,79.29
GRMN,1,MVI,2026-06-15,234.2
HD,1,MACD,2026-06-15,334.28
NCLH,1,OBV,2026-06-15,20.44
POOL,1,MVI,2026-06-15,198.99
RL,1,MACD,2026-06-15,413.01
TMO,1,MACD,2026-06-15,464.61
TTWO,1,CMF,2026-06-15,239.28
V,1,MFI,2026-06-15,327.24
XYL,1,MACD,2026-06-15,111.42
CSGP,1,MACD,2026-06-08,30.12
FISV,1,SQUEEZE,2026-06-08,47.86
GEHC,1,MACD,2026-06-08,61.59
MKC,1,MACD,2026-06-08,46.64
MTD,1,MFI,2026-06-08,1144.84
ROP,1,SQUEEZE,2026-06-08,330.26
SYK,1,WILLR,2026-06-08,307.8
TECH,1,MACD,2026-06-08,57.94
TYL,1,SQUEEZE,2026-06-08,278.91
URI,1,MFI,2026-06-08,1076.81
FOX,1,OBV,2026-06-01,46.95
DXCM,1,CMF,2026-05-25,72.47
GD,1,OBV,2026-05-25,350.01
KDP,1,RSI,2026-05-25,30.76
SMCI,1,MFI,2026-05-25,30.66
T,1,CMF,2026-05-25,22.01
WBD,1,MACD,2026-05-25,26.2
HON,1,OBV,2026-05-18,229.01
PRU,1,OBV,2026-05-18,106.53
SO,1,CMF,2026-05-18,93.09
ZBRA,1,SQUEEZE,2026-05-11,235.98
KHC,1,RSI,2026-05-04,22.82
KMB,1,SQUEEZE,2026-05-04,102.56
NVDA,1,WILLR,2026-05-04,210.69
UBER,1,OBV,2026-05-04,71.64
